2024-07-23 11:49:34,837 __main__ INFO ==> Config: {'BATCH_SIZE': 4, 'LAMBDA_1': 50, 'TRAIN': {'FREEZE_AUDIO_EXTRACTOR': True, 'PRETRAINED_VGGISH_MODEL_PATH': '../../pretrained_backbones/vggish-10086976.pth', 'PREPROCESS_AUDIO_TO_LOG_MEL': False, 'POSTPROCESS_LOG_MEL_WITH_PCA': False, 'PRETRAINED_PCA_PARAMS_PATH': '../../pretrained_backbones/vggish_pca_params-970ea276.pth', 'FREEZE_VISUAL_EXTRACTOR': False, 'PRETRAINED_RESNET50_PATH': '../../pretrained_backbones/resnet50-19c8e357.pth', 'PRETRAINED_PVTV2_PATH': '../../pretrained_backbones/pvt_v2_b5.pth'}, 'DATA': {'ANNO_CSV': '/mnt/data1/jiali/avsbench_data/Single-source/s4_meta_data.csv', 'DIR_IMG': '/mnt/data1/jiali/avsbench_data/Single-source/s4_data/visual_frames', 'DIR_AUDIO_LOG_MEL': '/mnt/data1/jiali/avsbench_data/Single-source/s4_data/audio_log_mel', 'DIR_MASK': '/mnt/data1/jiali/avsbench_data/Single-source/s4_data/gt_masks', 'IMG_SIZE': (224, 224)}, 'DATA_avsbench': {'ANNO_CSV': '/mnt/data1/jiali/avsbench_data/Single-source/s4_meta_data.csv', 'DIR_IMG': '/mnt/data1/jiali/avsbench_data/Single-source/s4_data/visual_frames', 'DIR_AUDIO_LOG_MEL': '/mnt/data1/jiali/avsbench_data/Single-source/s4_data/audio_log_mel', 'DIR_MASK': '/mnt/data1/jiali/avsbench_data/Single-source/s4_data/gt_masks', 'IMG_SIZE': (224, 224)}, 'DATA_synthesis_avsbench_random4': {'ANNO_CSV': '/mnt/data1/jiali/avsbench_synthesis_visual_random4/Single-source/s4_meta_data.csv', 'DIR_IMG': '/mnt/data1/jiali/avsbench_synthesis_visual_random4/Single-source/s4_data/visual_frames', 'DIR_AUDIO_LOG_MEL': '/mnt/data1/jiali/avsbench_synthesis_visual_random4/Single-source/s4_data/audio_log_mel', 'DIR_MASK': '/mnt/data1/jiali/avsbench_synthesis_visual_random4/Single-source/s4_data/gt_masks', 'IMG_SIZE': (224, 224)}}
2024-07-23 11:49:34,837 __main__ INFO ==> Arguments: Namespace(session_name='S4_pvt', visual_backbone='pvt', train_batch_size=4, val_batch_size=1, max_epoches=15, lr=0.0001, num_workers=8, wt_dec=0.0005, sa_loss_flag=False, lambda_1=0, sa_loss_stages=[], mask_pooling_type='avg', tpavi_stages=[0, 1, 2, 3], tpavi_vv_flag=False, tpavi_va_flag=True, weights='', log_dir='./train_logs/S4_pvt_20240723-114934', easy_ratio=0.75, checkpoint_dir='./train_logs/S4_pvt_20240723-114934/checkpoints')
2024-07-23 11:49:34,837 __main__ INFO ==> Experiment: S4_pvt
2024-07-23 11:49:44,997 __main__ INFO Iter:    0/12945, Total_Loss:0.7292, iou_loss:0.7292, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-23 11:50:14,444 __main__ INFO Iter:   50/12945, Total_Loss:0.3095, iou_loss:0.3095, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-23 11:50:45,321 __main__ INFO Iter:  100/12945, Total_Loss:0.2506, iou_loss:0.2506, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-23 11:51:16,594 __main__ INFO Iter:  150/12945, Total_Loss:0.2316, iou_loss:0.2316, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-23 11:51:47,514 __main__ INFO Iter:  200/12945, Total_Loss:0.2199, iou_loss:0.2199, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-23 11:52:18,725 __main__ INFO Iter:  250/12945, Total_Loss:0.2138, iou_loss:0.2138, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-23 11:52:49,783 __main__ INFO Iter:  300/12945, Total_Loss:0.2185, iou_loss:0.2185, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-23 11:53:20,487 __main__ INFO Iter:  350/12945, Total_Loss:0.2049, iou_loss:0.2049, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-23 11:53:51,493 __main__ INFO Iter:  400/12945, Total_Loss:0.2039, iou_loss:0.2039, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-23 11:54:22,629 __main__ INFO Iter:  450/12945, Total_Loss:0.2077, iou_loss:0.2077, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-23 11:54:53,257 __main__ INFO Iter:  500/12945, Total_Loss:0.1936, iou_loss:0.1936, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-23 11:55:24,191 __main__ INFO Iter:  550/12945, Total_Loss:0.1968, iou_loss:0.1968, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-23 11:55:55,364 __main__ INFO Iter:  600/12945, Total_Loss:0.1809, iou_loss:0.1809, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-23 11:56:26,165 __main__ INFO Iter:  650/12945, Total_Loss:0.1950, iou_loss:0.1950, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-23 11:56:57,097 __main__ INFO Iter:  700/12945, Total_Loss:0.1840, iou_loss:0.1840, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-23 11:57:28,135 __main__ INFO Iter:  750/12945, Total_Loss:0.1895, iou_loss:0.1895, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-23 11:57:58,940 __main__ INFO Iter:  800/12945, Total_Loss:0.1891, iou_loss:0.1891, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-23 11:58:29,940 __main__ INFO Iter:  850/12945, Total_Loss:0.1759, iou_loss:0.1759, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
