2024-07-23 09:48:23,028 __main__ INFO ==> Config: {'BATCH_SIZE': 4, 'LAMBDA_1': 50, 'TRAIN': {'FREEZE_AUDIO_EXTRACTOR': True, 'PRETRAINED_VGGISH_MODEL_PATH': '../../pretrained_backbones/vggish-10086976.pth', 'PREPROCESS_AUDIO_TO_LOG_MEL': False, 'POSTPROCESS_LOG_MEL_WITH_PCA': False, 'PRETRAINED_PCA_PARAMS_PATH': '../../pretrained_backbones/vggish_pca_params-970ea276.pth', 'FREEZE_VISUAL_EXTRACTOR': False, 'PRETRAINED_RESNET50_PATH': '../../pretrained_backbones/resnet50-19c8e357.pth', 'PRETRAINED_PVTV2_PATH': '../../pretrained_backbones/pvt_v2_b5.pth'}, 'DATA': {'ANNO_CSV': '/mnt/data1/jiali/avsbench_data/Single-source/s4_meta_data.csv', 'DIR_IMG': '/mnt/data1/jiali/avsbench_data/Single-source/s4_data/visual_frames', 'DIR_AUDIO_LOG_MEL': '/mnt/data1/jiali/avsbench_data/Single-source/s4_data/audio_log_mel', 'DIR_MASK': '/mnt/data1/jiali/avsbench_data/Single-source/s4_data/gt_masks', 'IMG_SIZE': (224, 224)}, 'DATA_avsbench': {'ANNO_CSV': '/mnt/data1/jiali/avsbench_data/Single-source/s4_meta_data.csv', 'DIR_IMG': '/mnt/data1/jiali/avsbench_data/Single-source/s4_data/visual_frames', 'DIR_AUDIO_LOG_MEL': '/mnt/data1/jiali/avsbench_data/Single-source/s4_data/audio_log_mel', 'DIR_MASK': '/mnt/data1/jiali/avsbench_data/Single-source/s4_data/gt_masks', 'IMG_SIZE': (224, 224)}, 'DATA_synthesis_avsbench_random4': {'ANNO_CSV': '/mnt/data1/jiali/avsbench_synthesis_visual_random4/Single-source/s4_meta_data.csv', 'DIR_IMG': '/mnt/data1/jiali/avsbench_synthesis_visual_random4/Single-source/s4_data/visual_frames', 'DIR_AUDIO_LOG_MEL': '/mnt/data1/jiali/avsbench_synthesis_visual_random4/Single-source/s4_data/audio_log_mel', 'DIR_MASK': '/mnt/data1/jiali/avsbench_synthesis_visual_random4/Single-source/s4_data/gt_masks', 'IMG_SIZE': (224, 224)}}
2024-07-23 09:48:23,028 __main__ INFO ==> Arguments: Namespace(session_name='S4_pvt', visual_backbone='pvt', train_batch_size=4, val_batch_size=1, max_epoches=15, lr=0.0001, num_workers=8, wt_dec=0.0005, sa_loss_flag=False, lambda_1=0, sa_loss_stages=[], mask_pooling_type='avg', tpavi_stages=[0, 1, 2, 3], tpavi_vv_flag=False, tpavi_va_flag=True, weights='', log_dir='./train_logs/S4_pvt_20240723-094823', easy_ratio=0.0, checkpoint_dir='./train_logs/S4_pvt_20240723-094823/checkpoints')
2024-07-23 09:48:23,028 __main__ INFO ==> Experiment: S4_pvt
2024-07-23 09:48:29,884 __main__ INFO Iter:    0/12945, Total_Loss:0.7292, iou_loss:0.7292, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-23 09:49:00,621 __main__ INFO Iter:   50/12945, Total_Loss:0.3096, iou_loss:0.3096, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-23 09:49:31,534 __main__ INFO Iter:  100/12945, Total_Loss:0.2496, iou_loss:0.2496, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-23 09:50:02,326 __main__ INFO Iter:  150/12945, Total_Loss:0.2314, iou_loss:0.2314, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-23 09:50:33,355 __main__ INFO Iter:  200/12945, Total_Loss:0.2249, iou_loss:0.2249, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-23 09:51:04,438 __main__ INFO Iter:  250/12945, Total_Loss:0.2131, iou_loss:0.2131, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-23 09:51:35,273 __main__ INFO Iter:  300/12945, Total_Loss:0.2113, iou_loss:0.2113, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-23 09:52:06,010 __main__ INFO Iter:  350/12945, Total_Loss:0.2025, iou_loss:0.2025, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-23 09:52:37,007 __main__ INFO Iter:  400/12945, Total_Loss:0.2042, iou_loss:0.2042, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-23 09:53:07,816 __main__ INFO Iter:  450/12945, Total_Loss:0.2020, iou_loss:0.2020, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-23 09:53:38,415 __main__ INFO Iter:  500/12945, Total_Loss:0.1970, iou_loss:0.1970, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-23 09:54:09,309 __main__ INFO Iter:  550/12945, Total_Loss:0.1981, iou_loss:0.1981, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-23 09:54:40,301 __main__ INFO Iter:  600/12945, Total_Loss:0.1797, iou_loss:0.1797, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-23 09:55:11,156 __main__ INFO Iter:  650/12945, Total_Loss:0.1920, iou_loss:0.1920, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-23 09:55:41,859 __main__ INFO Iter:  700/12945, Total_Loss:0.1835, iou_loss:0.1835, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-23 09:56:12,736 __main__ INFO Iter:  750/12945, Total_Loss:0.1842, iou_loss:0.1842, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
